neighborhood_municipality,total_partially_vaccinated,total_fully_vaccinated,total_fully_vaccinated_w_booster
Oakwood (Pittsburgh),78,337,290
Point Breeze (Pittsburgh),684,1823,2541
Point Breeze North (Pittsburgh),236,721,688
Ridgemont (Pittsburgh),31,154,162
Sheraden (Pittsburgh),344,1626,1048
Southside Flats (Pittsburgh),1050,3013,2061
Squirrel Hill South (Pittsburgh),2385,6068,5973
St. Clair (Pittsburgh),23,81,39
Strip District (Pittsburgh),332,802,627
Summer Hill (Pittsburgh),57,316,349
Swisshelm Park (Pittsburgh),107,442,566
Troy Hill (Pittsburgh),253,1013,819
Upper Lawrenceville (Pittsburgh),247,862,915
West End (Pittsburgh),21,92,52
West Oakland (Pittsburgh),197,584,309
Windgap (Pittsburgh),96,387,451
Plum,1731,9213,8744
Rankin,104,420,225
Reserve,183,1043,1189
Scott,1465,6699,6151
Sewickley Hills,54,207,266
Sharpsburg,257,1169,840
South Park,855,4623,4737
South Versailles,17,112,66
Springdale Borough,199,1089,949
Springdale Township,88,452,561
Tarentum,235,1338,900
Trafford,0,2,3
Turtle Creek,340,1575,1041
Upper Saint Clair,1954,7763,8499
West Deer,806,3727,4124
West Mifflin,1082,6179,5866
Whitaker,69,404,258
